Town,BuildingType,TotalHouseholds,TotalPopulation
東平尾２丁目,一戸建,104,278
東平尾２丁目,長屋建,4,11
東平尾２丁目,共同住宅,221,490
東平尾２丁目,その他,0,0
東平尾３丁目,一戸建,0,0
東平尾３丁目,長屋建,0,0
東平尾３丁目,共同住宅,0,0
東平尾３丁目,その他,0,0
東平尾公園１丁目,一戸建,0,0
東平尾公園１丁目,長屋建,0,0
東平尾公園１丁目,共同住宅,0,0
東平尾公園１丁目,その他,0,0
東平尾公園２丁目,一戸建,0,0
東平尾公園２丁目,長屋建,0,0
東平尾公園２丁目,共同住宅,0,0
東平尾公園２丁目,その他,0,0
月隈１丁目,一戸建,39,125
月隈１丁目,長屋建,0,0
月隈１丁目,共同住宅,41,95
月隈１丁目,その他,0,0
月隈２丁目,一戸建,146,458
月隈２丁目,長屋建,4,7
月隈２丁目,共同住宅,100,234
月隈２丁目,その他,0,0
月隈３丁目,一戸建,62,186
月隈３丁目,長屋建,1,2
月隈３丁目,共同住宅,52,94
月隈３丁目,その他,0,0
月隈４丁目,一戸建,0,0
月隈４丁目,長屋建,0,0
月隈４丁目,共同住宅,0,0
月隈４丁目,その他,0,0
月隈５丁目,一戸建,0,0
月隈５丁目,長屋建,0,0
月隈５丁目,共同住宅,0,0
月隈５丁目,その他,0,0
月隈６丁目,一戸建,27,92
月隈６丁目,長屋建,7,16
月隈６丁目,共同住宅,203,395
月隈６丁目,その他,1,3
立花寺,一戸建,88,230
立花寺,長屋建,1,1
立花寺,共同住宅,108,191
立花寺,その他,0,0
金の隈１丁目,一戸建,198,541
金の隈１丁目,長屋建,11,24
金の隈１丁目,共同住宅,429,940
金の隈１丁目,その他,0,0
金の隈２丁目,一戸建,116,336
金の隈２丁目,長屋建,1,2
金の隈２丁目,共同住宅,180,371
金の隈２丁目,その他,0,0
金の隈３丁目,一戸建,111,326
金の隈３丁目,長屋建,0,0
