Town,FamilyType,TotalHouseholds,total_pop,NonResSum,NonResSumPopulation,IsSingleOnly,NonResHouseholds_Init,NonResHouseholds_Adjusted,NonResHouseholds,Discrepancy
南本町１丁目,夫婦と子供から成る世帯,11,41,0,0,True,0.0,-0.0,0.0,0.0
南本町１丁目,その他の核家族世帯,8,18,0,0,True,0.0,-0.0,0.0,0.0
南本町１丁目,核家族以外の世帯,6,25,0,0,True,0.0,-0.0,0.0,0.0
南本町１丁目,非親族を含む世帯,2,4,0,0,True,0.0,-0.0,0.0,0.0
南本町１丁目,単独世帯,91,91,0,0,True,0.0,0.0,0.0,0.0
南本町２丁目,夫婦のみの世帯,33,66,0,0,True,0.0,-0.0,0.0,0.0
南本町２丁目,夫婦と子供から成る世帯,28,102,0,0,True,0.0,-0.0,0.0,0.0
南本町２丁目,その他の核家族世帯,23,48,0,0,True,0.0,-0.0,0.0,0.0
南本町２丁目,核家族以外の世帯,11,43,0,0,True,0.0,-0.0,0.0,0.0
南本町２丁目,非親族を含む世帯,3,7,0,0,True,0.0,-0.0,0.0,0.0
南本町２丁目,単独世帯,119,119,0,0,True,0.0,0.0,0.0,0.0
博多港,夫婦のみの世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
博多港,夫婦と子供から成る世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
博多港,その他の核家族世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
博多港,核家族以外の世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
博多港,非親族を含む世帯,0,0,0,0,True,0.0,-0.0,0.0,0.0
博多港,単独世帯,0,0,0,0,True,0.0,0.0,0.0,0.0
博多駅中央街,夫婦のみの世帯,5,10,0,0,True,0.0,-0.0,0.0,0.0
博多駅中央街,夫婦と子供から成る世帯,1,3,0,0,True,0.0,-0.0,0.0,0.0
