Town,AreaRange,TotalHouseholds,TotalPopulation
竹下１丁目,70～99㎡,114,285
竹下１丁目,100～149㎡,28,75
竹下１丁目,150㎡以上,10,19
竹下２丁目,0～29㎡,139,151
竹下２丁目,30～49㎡,123,150
竹下２丁目,50～69㎡,53,92
竹下２丁目,70～99㎡,36,62
竹下２丁目,100～149㎡,4,10
竹下２丁目,150㎡以上,5,20
竹下３丁目,0～29㎡,0,0
竹下３丁目,30～49㎡,0,0
竹下３丁目,50～69㎡,0,0
竹下３丁目,70～99㎡,0,0
竹下３丁目,100～149㎡,0,0
竹下３丁目,150㎡以上,0,0
竹下４丁目,0～29㎡,275,325
竹下４丁目,30～49㎡,166,213
竹下４丁目,50～69㎡,148,258
竹下４丁目,70～99㎡,74,157
竹下４丁目,100～149㎡,22,45
竹下４丁目,150㎡以上,11,21
竹下５丁目,0～29㎡,237,251
竹下５丁目,30～49㎡,89,132
竹下５丁目,50～69㎡,129,279
竹下５丁目,70～99㎡,165,415
竹下５丁目,100～149㎡,51,122
竹下５丁目,150㎡以上,43,115
東光寺町１丁目,0～29㎡,77,85
東光寺町１丁目,30～49㎡,96,148
東光寺町１丁目,50～69㎡,74,157
東光寺町１丁目,70～99㎡,49,117
東光寺町１丁目,100～149㎡,41,119
東光寺町１丁目,150㎡以上,32,99
東光寺町２丁目,0～29㎡,38,53
東光寺町２丁目,30～49㎡,47,87
東光寺町２丁目,50～69㎡,101,265
東光寺町２丁目,70～99㎡,76,232
東光寺町２丁目,100～149㎡,2,3
東光寺町２丁目,150㎡以上,1,1
那珂１丁目,0～29㎡,243,282
那珂１丁目,30～49㎡,170,285
那珂１丁目,50～69㎡,186,350
那珂１丁目,70～99㎡,209,521
那珂１丁目,100～149㎡,97,261
那珂１丁目,150㎡以上,46,134
那珂２丁目,0～29㎡,120,155
那珂２丁目,30～49㎡,106,180
那珂２丁目,50～69㎡,150,344
那珂２丁目,70～99㎡,119,321
那珂２丁目,100～149㎡,41,128
那珂２丁目,150㎡以上,30,84
那珂３丁目,0～29㎡,106,130
那珂３丁目,30～49㎡,75,140
那珂３丁目,50～69㎡,372,932
那珂３丁目,70～99㎡,188,546
那珂３丁目,100～149㎡,25,76
那珂３丁目,150㎡以上,14,49
那珂４丁目,0～29㎡,48,53
那珂４丁目,30～49㎡,105,200
那珂４丁目,50～69㎡,237,578
那珂４丁目,70～99㎡,199,614
那珂４丁目,100～149㎡,16,47
那珂４丁目,150㎡以上,3,7
那珂５丁目,0～29㎡,85,94
那珂５丁目,30～49㎡,75,117
那珂５丁目,50～69㎡,171,435
那珂５丁目,70～99㎡,103,262
那珂５丁目,100～149㎡,15,47
那珂５丁目,150㎡以上,21,53
那珂６丁目,0～29㎡,88,111
那珂６丁目,30～49㎡,86,151
那珂６丁目,50～69㎡,122,288
那珂６丁目,70～99㎡,99,234
那珂６丁目,100～149㎡,41,115
那珂６丁目,150㎡以上,16,39
板付１丁目,0～29㎡,32,40
板付１丁目,30～49㎡,36,51
